label,tweet
neutral,"['hope', 'bad', 'blood', 'already', 'peak', 'hype', 'kinda']"
neutral,"['wwe', 'monday', 'night', 'raw', 'always', 'start', 'seth', 'rollins']"
positive,"['omg', 'ricky', 'martin', 'may', 'gay', 'one', 'fine', 'as', 'gay', 'man']"
negative,"['ball', 'wsh', 'yd', 'line', 'griffin', 'back', 'pas', 'look', 'move', 'come', 'justin', 'tuck', 'go']"
positive,"['lyric', 'calibraska', 'memorize', 'tomorrow', 'kid']"
negative,"['suspect', 'yet', 'arson', 'fire', 'plan', 'parenthood', 'building', 'pullman', 'rule', 'arson', 'investigation', 'friday']"
negative,"['really', 'think', 'rousey', 'mayweather', 'cannot', 'take', 'serious', 'man', 'fight', 'woman']"
neutral,"['today', 'friday', 'mean', 'hour', 'away', 'spend', 'next', 'two', 'day', 'watch', 'netflix', 'pjs']"
positive,"['round', 'dustin', 'johnson', 'consider', 'start', 'another', 'case', 'whistle', 'strait']"
neutral,"['economic', 'timeswashing', 'hand', 'keep', 'doctor', 'oct', 'world', 'strategic', 'environmental', 'assessment', 'r']"
neutral,"['see', 'hulk', 'hogan', 'sit', 'nwo']"
neutral,"['ibra', 'recovery', 'time', 'still', 'unknown', 'french', 'league', 'start', 'friday', 'psg', 'play', 'lille', 'zlatan', 'much', 'doubt']"
positive,"['think', 'may', 'pop', 'ear', 'drum', 'vain', 'head', 'sing', 'along', 'fleetwood', 'mac', 'loudly', 'parkway']"
neutral,"['men', 'show', 'million', 'man', 'march', 'christian', 'really', 'make', 'call', 'god']"
positive,"['rumourz', 'tribute', 'fleetwood', 'mac', 'saturday', 'august', 'pm', 'free', 'admission', 'preview', 'play', 'huge']"
positive,"['jack', 'jack', 'see', 'dress', 'miley', 'cyrus', 'first', 'day', 'college', 'blast', 'calibraska', 'promo']"
positive,"['make', 'friend', 'listen', 'calibraska', 'back', 'school', 'monday']"
neutral,"['josh', 'hamilton', 'starting', 'lineup', 'game', 'v', 'los', 'angeles']"
neutral,"['yankee', 'vs', 'white', 'sox', 'saturday', 'september', 'seat', 'section', 'right', 'behind', 'white', 'sox', 'dugout', 'labor', 'day']"
negative,"['okay', 'may', 'know', 'sht', 'happen', 'kpop', 'guess', 'go', 'hiatus', 'everything', 'negative', 'turn']"
negative,"['damn', 'gonna', 'let', 'muslim', 'run', 'country', 'turn', 'world', 'shit', 'hole', 'like']"
neutral,"['daddy', 'daughter', 'dunkin', 'date', 'someone', 'hit', 'mommy', 'twice', 'time', 'apologize', 'tweet', 'time', 'time']"
negative,"['game', 'remind', 'cotton', 'bowl', 'game', 'control', 'enough', 'point', 'afraid', 'half', 'lsu', 'dominance']"
negative,"['rt', 'one', 'thing', 'learn', 'living', 'detroit', 'nigga', 'pull', 'gun', 'get', 'fuck', 'crazy', 'as', 'night', 'already']"
neutral,"['wanna', 'see', 'jason', 'aldean', 'cole', 'swindell', 'tyler', 'farr', 'va', 'beach', 'tomorrow', 'night', 'burn', 'tour']"
neutral,"['george', 'harrison', 'come', 'sun', 'live', 'avi']"
neutral,"['rt', 'find', 'school', 'tomorrow', 'chillin', 'box', 'h']"
positive,"['steelers', 'play', 'good', 'sunday', 'say', 'keep', 'bee', 'uniform', 'way', 'superbowl']"
neutral,"['david', 'wright', 'hit', 'homer', 'dl']"
