topic,label,tweet
paul dunne,positive,Paul Dunne &amp; his @UABathletics teammates played in #TheSagamoreClub Fall Collegiate Preview in 2014. Dunne may win the @TheOpen tomorrow.
batman,positive,"@Jewchaynz it's different from comic club, because everyone loves Batman, but not may people walk around shooting fire balls. Ya know?"
seinfeld,positive,"@jacktame Given your love of Kanye and my love of Seinfeld, I think you may dig this. https://t.co/uyGJAf4UCh"
frank ocean,positive,frank ocean idk how im going to make it through tomorrow so pls drop the album
coffee,positive,Coffee so strong it could stop a runaway NY train using pure grit if Doc Oc disabled the brakes &amp; OMG I THINK MY COFFEE MAY BE SPIDERMAN!
amazon,positive,I'm so bored in 2nd I just bought some stuff on Amazon
hannibal,positive,"Love all of you, thanks you guys for showing me a new Hannibal! -Fannibal https://t.co/J7LeR8VKp9"
frank gifford,positive,"@klgandhoda Prayers for all of you today. May God carry each one of you during this sad time ""Footprints in the Sand"",  RIP Frank Gifford"
niall,positive,Can we talk about the fact that I literally fell for Niall on Saturday.
apple,positive,"Rumor has it Apple is likely to unveil 3 new iPhones at their 9 Sep media event; iPhone 6s, iPhone 6s Plus,iPhone 6c http://t.co/QF8d6P1Y7R"
prince george,positive,"Happy 2nd birthday to Prince George!!!  With the mention of birthdays, comment below with your little persons... http://t.co/0MMjf1KLRo"
carly fiorina,positive,@cnn Is it true that Carly Fiorina won't be in Sept 16th debate. That's not ok... Let her in!
disney world,positive,"WOW, It's October 3rd. I'm going to Disney world @_JW21_ @jaileroark17_"
oracle,positive,The Weeknd coming to Oracle with Travi$ Scott in December.. Oh my.
brock lesnar,positive,Might just have to hit up Monday night raw because Brock Lesnar is going to be there.
zayn,positive,i just don't wanna miss anything it sucks waking up and realising that Zayn came back to 1D and the 5th album is out.
eric church,positive,It just hit me that I'm seeing Eric Church acoustic in Nashville tomorrow. #Chief
google+,positive,The Google+ for Business Workshop 18 August is SOLD OUT! Don`t worry you can book into the 10 September Workshop Now! http://t.co/9ApHf1bGJ9
amazon prime day,negative,"Amazon Prime Day disaster: 16 people who may never get over it: Amazon Prime Day, despi... http://t.co/rhQjPgJcaG http://t.co/uag8Lw1DTu"
serena,positive,History still in the making with Serena's win over sister Venus! #GrandSlam https://t.co/p56xxav8vv
norman reedus,positive,@wwwbigbaldhead YOU are the best! Always...Happy birthday to Mingus tomorrow....love you Norman Reedus
jurassic world,negative,@Der_Lemke yeah I loved the 1st film and book. Was disappointed with Jurassic World (but I seem to be in a minority)
messi,positive,James Rodriguez is fast closing in on the 2nd grade of best footballers (those immediately after Messi and Ronaldo)...
john cena,positive,@xrvmz john cena was the love of my life ok I watched wrestling when I was in like 3rd grade
sharknado,positive,Cable here is running Sharknado (the 1st one) right now! This movie is the dumbest thing I've ever LOVED...
chelsea,positive,@EASPORTSFIFA #FIFA16 demo downloaded; 4-0 win in the first game with Chelsea against PSG @hazardeden10 1st goal &amp; @FALCAO man of the match
sam smith,positive,Oh shit I just remember the Sam smith concert is on the 30th
david wright,positive,That was David Wright's 3rd home run of the season! http://t.co/OF4LA4zYRF
amazon prime,positive,@mwVme we've got a 2nd gen roku and really enjoy it. same here with Netflix and Amazon Prime
minecraft,positive,Off to bed but looking forward to flumps and playing Minecraft with Martin and Chloe tomorrow...Hmmm minecraft flump? #flumplover #minecraft
michael jackson,positive,"Portland, make sure and catch @mattwertz this Wednesday at 8 at Alberta Rose Theater. I'm hoping for at least 4 Michael Jackson covers."
sarah palin,negative,"I'd say this makes me think of Sarah Palin's ""I can see Russia"" moment, but that's basically the whole GOP. http://t.co/NQZHF46Pbg"
kanye west,positive,Kanye West sent Taylor Swift flowers. That must be his 1st political move.. Taylor can really help him with her squad. :'D #KanTay2020
google,positive,Google seems to think the @policesupers site may be hacked? http://t.co/GEMtHocbfK
national ice cream day,positive,"July 19th is National Ice Cream Day! We want to know what your favorite Ice Cream place in Chester County is, post below!"
ice cube,positive,Next Friday the best one Ice Cube made
john kasich,negative,"Front-runner Donald Trump guaranteed in Fox's GOP debate Thursday, but Ohio Gov. John Kasich might not make cut. http://t.co/NL0qEGLa6S ^JC"
seinfeld,positive,Love that Seinfeld episode in the picture https://t.co/BzTPPLzAeB
john cena,positive,Me: Jun I have a secret...  Jun: what is it?!  Me: well I'm actually...JOHN CENA!  Jun: oh my gawd...
foo fighters,positive,M/T arliehartman: b10w john played a song with the Foo Fighters on Thursday night. It was great!
frank ocean,positive,"FYF Festival: Hey frank, you excited to perform this Friday?   Frank Ocean: new phone, who dis"
josh hamilton,positive,"Ok, I remember where I was when Josh Hamilton had the massive 1st round, etc in '08---and hats off to @FlavaFraz21 bcuz that was Epic also!!"
sam smith,positive,"#itweetFEEDS Well, we guessed it! ICYMI: On Monday, Sam Smith shared an inneresting photo tha... http://t.co/OOwu7zB2iF #ff @itweetFEEDS"
gay,positive,Gonna turn gay just for @Beyonce tomorrow
national ice cream day,positive,"Hey, did you know National Ice Cream Day is Sunday, July 19th? Make sure you take a moment to enjoy a scoop of your favorite flavor! #YUM"
islam,positive,@ReshmiZulphay may ALLAH give you more eager to know about ISLAM.
bbc,positive,"[TV] Reluctant Persuaders (BBC Radio 4) Tue, Sep 15, 6:30 PM Comedy by Edward Rowett set in Hardacres, the worst advertising agency in Lon.."
dustin johnson,negative,"R&amp;A's handling of the end of round 2 was diabolical. I watched Spieth, Matsuyama and Dustin Johnson early Saturday, very unfair on them."
boko haram,negative,Boko Haram commander was arrested after a raid in the sect's camp in Bama Borno state yesterday August 2nd. 178... http://t.co/0HDSzN5CHx
naruto,positive,Time to binge on Naruto until the sun leaks through the blinds
david beckham,positive,Regram of David Beckham with his Daughter Harper. Happy 4th birthday Harper. #iamadad #dadsgirl https://t.co/8zuA8cQY6a
big brother,positive,Big Brother will be on CBS' sister stations tomorrow because of football. I'll make a list of all the changes. #BB17
lexus,positive,Is the future finally here? Lexus may have the hoverboard of your dreams ? video  http://t.co/hJf3Z1ou97
ira,negative,"Shoot to kill was a gift to the IRA, who were nothing pre Bloody Sunday. If you're a Lab MP &amp; don't know this, get a new job @hillarybenn"
seth rollins,positive,Seth Rollins is going to be at the house show in Beaumont. So i think he may win. I really doubt the WWE WHC will be at a house show #RAW
kanye west,positive,"like my career goal may not be exactly kanye west, but he's part of it"
kendrick,positive,I'm pretty sad that this is the first time I've heard Black Friday by Kendrick and J.cole
milan,negative,@CommonLinnets you are 3 away from my house friday and at that moment I'm in the air on my way back home!!! I don't want to go to milan now
joe biden,negative,"Joe Biden for Presient? Really? He may be a nice guy, but the man is a buffoon."
nirvana,positive,"Nirvana is heaven to the ancient hindu deities. They came to earth from Nirvana, the 6th planet in Orion really called Procyon."
zac brown band,positive,"Happy Thursday morning...It's the last day to register to win Luke Bryan tickets....and Zac Brown Band ""win 'em... http://t.co/YXK3ylOJ3e"
milan,positive,@john_nufc42 My Italian trip restored my faith in the love and passion of FB.PL like a library. Next 2 trips sorted next up Milan derby-Jan
ben affleck,positive,"@Cheeellleeee woooo I'll look into for next Wednesday, just wanna see Ben Affleck"
ac/dc,positive,I've been left in the car park. May or may not be rocking out to AC/DC
obama,positive,Obama's day: The Duke Blue Devils: President Obama opens a post-Labor Day week Tuesday by welcoming the champi... http://t.co/QhUSfgwLag
jay-z,positive,"Song Cry x Jay-Z is one of my favorite songs, don't screw over the one that's been dsd1 no matter what changes life may bring, just don't."
zayn,positive,anyone has a solo dm with Zayn bc i dont have one yet since march :( ugh pleaseee :--( just one solo dm... ill give u 1 liam solo dm :)
messi,positive,"@HoldTheMilan: Alciato: Bee will invest 150 million in January, another 200 in the Summer and plans to bring Messi by 2017"
sam smith,positive,If someone wants to take me to the Sam smith concert in October I wouldn't even be mad
frank gifford,positive,I so miss the colliding helmets ABC Monday Night Football use to do. Plus the storytelling element that Frank Gifford and Bob Costas did
cate blanchett,positive,Can Cate Blanchett win her 3rd Oscar with TRUTH? Check out her acclaimed performance today &amp; see for yourself https://t.co/2pnjvlrWBo
caitlyn jenner,positive,"@mikeFAIL haha ""the thing is good sir, tomorrow Caitlyn Jenner will be a woman, but you will still be an idiot."" http://t.co/kLfMPwscWS"
hannibal,positive,"@FrygtCanophilis Hannibal removes his hand from your forehead, Will's temperature was back again. He sat down beside the younger man -"
kpop,positive,@death_spells oh!! Maybe pride tomorrow? Or metro?? I rlly wanna go to that Asian place with Kpop stuff...
magic mike xxl,positive,I have to say the Pony scene from Magic Mike XXL may be some of Channing's finest dancing
ant-man,negative,ANT-MAN was the 1st time I didn't stay for a Marvel film's post credits scene. The film was just one big teaser. Didn't need to see another.
ipod,positive,@normwood I still have my original newfangled iPod. Maybe I'll bring it to the game on Monday.
shawn,positive,"I watched the clock turn midnight, and just sat there thinking how crazy it is that I met Shawn exactly a year ago"
jason aldean,positive,I have 2 Jason Aldean tickets to sell for Friday night. $90 for the pair. Any takers??
ihop,positive,I legitimately just walked into IHOP and got my own menus from behind the host stand and sat myself. Hahaha
kendrick,positive,"@sxmmo don't know the order, but top 3 albums are from Kendrick, The Weeknd &amp; Bieber (Taylor Swift 4th)"
israel,positive,@Reuters may God be with his people Israel and guide and protect them!# I stand with Israel!
venice beach,positive,See you tomorrow Venice Beach. https://t.co/MNJHZ0rn7Z
thor,positive,Thursday: Thor's day. Bring me your bolts your breezes your squalls your everything. We can handle it. xx
prince george,positive,"asdfghjkl; why are you so cute?! happy 2nd birthday, prince george! http://t.co/GnrZVFuOK2"
calibraska,positive,Fuck yes Calibraska is out tomorrow  do you hear me screaming ! #CalibraskaEP
muslims,negative,The comments by Tony Windsor saying he hoped Muslims would kill an Australian citizen needs a complete apol 2 Aust.  https://t.co/onGOSl8bG1
amy schumer,negative,"People are like, ""Amy Schumer? I don't like her, she's fat.""  And I'm all like Ralphie May is fatter, and I don't... https://t.co/p0euQA7Tww"
shawn,positive,@jaimemiciah drop them off at King Kog on your way to CX practice tomorrow! Shawn is the best!
twilight,positive,Bravely Second being the end of Feb also has a knock-on effect on March too. Will probably be too busy with it for Twilight Princess HD.
paul dunne,positive,What a performance so far from Galway native Paul Dunne @TheOpen. Good luck tomorrow you can do it! #nofear
tom brady,negative,"@SportsCenter #bradyapology Tom Brady can take his fake apology, tears and lies and shuv them where the sun doesn't shine.  he's a LIAR"
