topic,label,tweet
paul dunne,positive,"['paul', 'dunne', 'teammate', 'play', 'fall', 'collegiate', 'preview', 'dunne', 'may', 'win', 'tomorrow']"
batman,positive,"['different', 'comic', 'club', 'everyone', 'love', 'batman', 'may', 'people', 'walk', 'around', 'shoot', 'fire', 'ball', 'ya', 'know']"
seinfeld,positive,"['give', 'love', 'kanye', 'love', 'seinfeld', 'think', 'may', 'dig']"
frank ocean,positive,"['frank', 'ocean', 'idk', 'im', 'go', 'make', 'tomorrow', 'pls', 'drop', 'album']"
coffee,positive,"['coffee', 'strong', 'could', 'stop', 'runaway', 'ny', 'train', 'use', 'pure', 'grit', 'doc', 'oc', 'disable', 'brake', 'omg', 'think', 'coffee', 'may', 'spiderman']"
amazon,positive,"['bore', 'buy', 'stuff', 'amazon']"
hannibal,positive,"['love', 'thanks', 'guy', 'show', 'new', 'hannibal', 'fannibal']"
frank gifford,positive,"['prayer', 'today', 'may', 'god', 'carry', 'one', 'sad', 'time', 'footprint', 'sand', 'rip', 'frank', 'gifford']"
niall,positive,"['talk', 'fact', 'literally', 'fell', 'niall', 'saturday']"
apple,positive,"['rumor', 'apple', 'likely', 'unveil', 'new', 'iphones', 'sep', 'medium', 'event', 'iphone', 'iphone', 'plus', 'iphone']"
prince george,positive,"['happy', 'birthday', 'prince', 'george', 'mention', 'birthday', 'comment', 'little', 'person']"
carly fiorina,positive,"['true', 'carly', 'fiorina', 'sept', 'debate', 'ok', 'let']"
disney world,positive,"['wow', 'october', 'go', 'disney', 'world']"
oracle,positive,"['weeknd', 'come', 'oracle', 'travi', 'scott', 'december', 'oh']"
brock lesnar,positive,"['might', 'hit', 'monday', 'night', 'raw', 'brock', 'lesnar', 'go']"
zayn,positive,"['wanna', 'miss', 'anything', 'suck', 'wake', 'realise', 'zayn', 'come', 'back', 'album']"
eric church,positive,"['hit', 'see', 'eric', 'church', 'acoustic', 'nashville', 'tomorrow']"
google+,positive,"['google', 'business', 'workshop', 'august', 'sell', 'worry', 'book', 'september', 'workshop']"
amazon prime day,negative,"['amazon', 'prime', 'day', 'disaster', 'people', 'may', 'never', 'get', 'amazon', 'prime', 'day', 'despi']"
serena,positive,"['history', 'still', 'making', 'win', 'sister', 'venus']"
norman reedus,positive,"['best', 'always', 'happy', 'birthday', 'mingus', 'tomorrow', 'love', 'norman', 'reedus']"
jurassic world,negative,"['yeah', 'love', 'film', 'book', 'disappointed', 'jurassic', 'world', 'seem', 'minority']"
messi,positive,"['james', 'rodriguez', 'fast', 'closing', 'grade', 'best', 'footballer', 'immediately', 'messi', 'ronaldo']"
john cena,positive,"['john', 'cena', 'love', 'life', 'ok', 'watch', 'wrestle', 'like', 'grade']"
sharknado,positive,"['cable', 'run', 'sharknado', 'one', 'right', 'movie', 'dumb', 'thing', 'ever', 'love']"
chelsea,positive,"['demo', 'download', 'win', 'first', 'game', 'chelsea', 'psg', 'goal', 'man', 'match']"
sam smith,positive,"['oh', 'shit', 'remember', 'sam', 'smith', 'concert']"
david wright,positive,"['david', 'home', 'run', 'season']"
amazon prime,positive,"['get', 'gen', 'roku', 'really', 'enjoy', 'netflix', 'amazon', 'prime']"
