topic,score
amy schumer,0.7142857142857143
ant-man,0.8481608212147134
bad blood,0.8172043010752688
bee gees,0.4852941176470588
big brother,0.7912457912457913
boko haram,0.5
briana,0.8666666666666667
brock lesnar,0.6363636363636364
caitlyn jenner,0.7515243902439024
calibraska,1.0
carly fiorina,0.5
cate blanchett,0.5
charlie hebdo,0.9285714285714286
chris evans,0.675
christians,0.8208041958041958
chuck norris,0.7
curtis,0.6592039800995024
dana white,0.7333333333333334
dark souls,0.7272727272727273
david bowie,0.5
david price,0.5
david wright,0.5
dean ambrose,0.625
dunkin,0.6312089971883786
dustin johnson,0.7433333333333334
ed sheeran,0.5
eid,0.75
floyd mayweather,0.8074074074074074
foo fighters,0.5
frank gifford,0.5
frank ocean,0.6760138050043141
gay,0.7705882352941176
george harrison,1.0
george osborne,0.8809523809523809
gucci,0.875
hulk hogan,0.784453781512605
ice cube,0.5
ira,0.5833333333333334
iran,0.7171717171717171
iron maiden,0.5
islam,0.8808848553601816
israel,0.8093093093093093
janet jackson,0.5
jason aldean,0.5
john cena,0.7426470588235294
john kasich,0.6772486772486772
josh hamilton,0.8333333333333333
justin bieber,0.75
kane,0.7040816326530612
kanye west,0.7893356643356644
katy perry,0.5343915343915344
kendrick,0.6545918367346939
kendrick lamar,0.5407407407407407
kim kardashian,0.78375
kpop,0.8638888888888889
kris bryant,0.5
lady gaga,0.48863636363636365
milan,0.5306122448979592
miss usa,0.625
moto g,0.5
murray,0.5984138428262437
muslims,0.8631221719457014
naruto,0.5
national hot dog day,0.5
national ice cream day,1.0
niall,0.4935064935064935
nicki,0.8169642857142857
nirvana,0.4935064935064935
paper towns,0.5
paul dunne,0.5
paul mccartney,0.5
prince george,1.0
ps4,0.8333333333333333
rahul gandhi,0.7387096774193549
randy orton,0.48
real madrid,0.8167420814479638
red sox,0.81265664160401
rolling stone,0.6666666666666666
rousey,0.6226950354609929
ryan braun,0.6666666666666666
sam smith,0.5714285714285714
saudi arabia,0.55
scott walker,0.712987012987013
seth rollins,0.666883963494133
sharknado,0.7561966680211296
shawn,0.75
star wars day,1.0
super eagles,0.5
the vamps,0.5
thor,0.65
tom brady,0.7345762711864408
tony blair,0.75
twilight,0.6449077238550922
u2,0.6846153846153846
watchman,0.5
white sox,0.7352941176470589
yakub,0.6810126582278482
yoga,0.5
zac brown band,1.0
zayn,0.6580459770114943
mean,0.6765677797394782
