topic,score
amy schumer,0.5714285714285714
ant-man,0.636869118905047
bad blood,0.7222222222222222
bee gees,1.0
big brother,0.5084175084175084
boko haram,0.4716981132075472
briana,0.6904761904761905
brock lesnar,0.6818181818181819
caitlyn jenner,0.8536585365853658
calibraska,1.0
carly fiorina,0.6362781954887218
cate blanchett,0.5
charlie hebdo,0.8333333333333333
chris evans,0.65
christians,0.8269230769230769
chuck norris,0.6
curtis,0.5555555555555556
dana white,0.7666666666666666
dark souls,0.5819805194805194
david bowie,0.49206349206349204
david price,0.6666666666666666
david wright,0.5
dean ambrose,0.625
dunkin,0.6363636363636364
dustin johnson,0.6212820512820513
ed sheeran,0.625
eid,0.5
floyd mayweather,0.712962962962963
foo fighters,0.5
frank gifford,0.75
frank ocean,0.6233822260569456
gay,0.72
george harrison,1.0
george osborne,0.8515406162464986
gucci,0.6875
hulk hogan,0.8390756302521009
ice cube,0.4950980392156863
ira,0.9407894736842105
iran,0.8767676767676768
iron maiden,0.75
islam,0.8431650595575724
israel,0.7830330330330331
janet jackson,0.6666666666666666
jason aldean,0.5
john cena,0.5808823529411765
john kasich,0.7314814814814814
josh hamilton,0.6666666666666666
justin bieber,0.6
kane,0.7142857142857143
kanye west,0.7674825174825175
katy perry,0.48148148148148145
kendrick,0.5846938775510204
kendrick lamar,0.5
kim kardashian,0.65625
kpop,0.625
kris bryant,0.5
lady gaga,0.5
milan,0.6428571428571428
miss usa,0.75
moto g,0.625
murray,0.631578947368421
muslims,0.9326923076923077
naruto,0.5
national hot dog day,0.4959677419354839
national ice cream day,1.0
niall,0.625
nicki,0.6785714285714286
nirvana,0.5
paper towns,0.5
paul dunne,0.625
paul mccartney,0.5
prince george,1.0
ps4,0.7222222222222222
rahul gandhi,0.7725806451612903
randy orton,0.5
real madrid,0.8846153846153846
red sox,0.6785714285714286
rolling stone,0.5833333333333334
rousey,0.6666666666666666
ryan braun,0.5555555555555556
sam smith,0.6785714285714286
saudi arabia,0.675
scott walker,0.8974025974025974
seth rollins,0.6153846153846154
sharknado,0.6739130434782609
shawn,0.5
star wars day,1.0
super eagles,0.5
the vamps,0.5
thor,0.55
tom brady,0.7230508474576272
tony blair,0.8699324324324325
twilight,0.5526315789473684
u2,0.6
watchman,0.625
white sox,0.7083333333333334
yakub,0.7848101265822784
yoga,0.5
zac brown band,1.0
zayn,0.4827586206896552
mean,0.6700890854204802
