topic,score
amy schumer,0.7142857142857143
ant-man,0.636869118905047
bad blood,0.6666666666666666
bee gees,1.0
big brother,0.531986531986532
boko haram,0.49056603773584906
briana,0.6571428571428571
brock lesnar,0.6363636363636364
caitlyn jenner,0.9077743902439024
calibraska,0.47560975609756095
carly fiorina,0.5
cate blanchett,0.5
charlie hebdo,0.9523809523809523
chris evans,0.625
christians,0.8006993006993006
chuck norris,0.5772727272727273
curtis,0.5887230514096186
dana white,0.7
dark souls,0.5454545454545454
david bowie,0.5
david price,0.7445054945054945
david wright,0.5
dean ambrose,0.625
dunkin,0.5909090909090909
dustin johnson,0.5894871794871795
ed sheeran,0.5
eid,0.75
floyd mayweather,0.6
foo fighters,0.5
frank gifford,0.5
frank ocean,0.5263157894736842
gay,0.6623529411764706
george harrison,0.5
george osborne,0.7871148459383753
gucci,0.5625
hulk hogan,0.7810924369747899
ice cube,0.5
ira,0.7675438596491229
iran,0.7282828282828282
iron maiden,0.75
islam,0.8930799773114011
israel,0.8085585585585586
janet jackson,0.6666666666666666
jason aldean,0.5
john cena,0.5514705882352942
john kasich,0.6759259259259259
josh hamilton,0.4852941176470588
justin bieber,0.55
kane,0.6836734693877551
kanye west,0.7412587412587412
katy perry,0.5
kendrick,0.6698979591836735
kendrick lamar,0.65
kim kardashian,0.63625
kpop,0.8527777777777779
kris bryant,0.5
lady gaga,0.5
milan,0.5714285714285714
miss usa,0.75
moto g,0.5
murray,0.6842105263157895
muslims,0.8438914027149321
naruto,0.8333333333333333
national hot dog day,0.4959677419354839
national ice cream day,1.0
niall,0.7435064935064934
nicki,0.6919642857142857
nirvana,0.5
paper towns,0.5
paul dunne,0.5
paul mccartney,0.5
prince george,1.0
ps4,0.7155555555555555
rahul gandhi,0.7370967741935484
randy orton,0.5
real madrid,0.7782805429864253
red sox,0.5714285714285714
rolling stone,0.75
rousey,0.5333333333333333
ryan braun,0.7115839243498818
sam smith,0.6071428571428571
saudi arabia,0.925
scott walker,0.7974025974025973
seth rollins,0.5576923076923077
sharknado,0.6334823242584315
shawn,0.5
star wars day,1.0
super eagles,0.75
the vamps,0.4857142857142857
thor,0.6
tom brady,0.6461016949152543
tony blair,0.660472972972973
twilight,0.5789473684210527
u2,0.5923076923076923
watchman,0.8636363636363636
white sox,0.6936274509803921
yakub,0.830379746835443
yoga,0.5
zac brown band,1.0
zayn,0.47413793103448276
mean,0.6544438018510513
