topic,score
amy schumer,0.7017857142857142
ant-man,0.8481608212147134
bad blood,0.7777777777777778
bee gees,1.0
big brother,0.8047138047138047
boko haram,0.75
briana,0.8904761904761904
brock lesnar,0.7206060606060606
caitlyn jenner,0.8628048780487805
calibraska,0.4878048780487805
carly fiorina,0.7725563909774436
cate blanchett,0.7357142857142858
charlie hebdo,0.7857142857142857
chris evans,0.825
christians,0.8741258741258742
chuck norris,0.7
curtis,0.7777777777777778
dana white,0.8666666666666667
dark souls,0.7272727272727273
david bowie,0.7420634920634921
david price,0.8223443223443223
david wright,0.625
dean ambrose,0.75
dunkin,0.6818181818181819
dustin johnson,0.8194871794871794
ed sheeran,0.625
eid,0.8695652173913043
floyd mayweather,0.8814814814814815
foo fighters,0.5
frank gifford,0.9960629921259843
frank ocean,0.7286453839516824
gay,0.8811764705882352
george harrison,1.0
george osborne,0.9117647058823529
gucci,0.8557692307692308
hulk hogan,0.7668067226890756
ice cube,0.6379551820728291
ira,0.9100877192982456
iran,0.7616161616161616
iron maiden,0.75
islam,0.8698241633579127
israel,0.9042792792792793
janet jackson,1.0
jason aldean,0.5
john cena,0.7647058823529411
john kasich,0.783068783068783
josh hamilton,0.9852941176470589
justin bieber,0.75
kane,0.8775510204081632
kanye west,0.9047202797202798
katy perry,0.6957671957671957
kendrick,0.7841836734693878
kendrick lamar,0.662962962962963
kim kardashian,0.84875
kpop,0.9888888888888889
kris bryant,0.6
lady gaga,0.5
milan,0.7091836734693877
miss usa,0.75
moto g,0.5
murray,0.7826243691420331
muslims,0.9705882352941176
naruto,0.6613475177304965
national hot dog day,0.5
national ice cream day,1.0
niall,0.5560064935064934
nicki,0.9107142857142857
nirvana,0.5
paper towns,0.7445652173913043
paul dunne,0.5
paul mccartney,1.0
prince george,1.0
ps4,0.8822222222222222
rahul gandhi,0.8
randy orton,0.6666666666666666
real madrid,0.9230769230769231
red sox,0.8214285714285714
rolling stone,0.9166666666666667
rousey,0.6907801418439716
ryan braun,0.7777777777777778
sam smith,0.8214285714285714
saudi arabia,0.55
scott walker,0.6532467532467532
seth rollins,0.7930247718383312
sharknado,0.8338073953677367
shawn,0.75
star wars day,1.0
super eagles,0.75
the vamps,0.5
thor,0.7901960784313725
tom brady,0.8376271186440678
tony blair,0.75
twilight,0.8092959671907041
u2,0.6846153846153846
watchman,0.6136363636363636
white sox,0.8161764705882353
yakub,0.6810126582278482
yoga,0.5
zac brown band,1.0
zayn,0.8160919540229885
mean,0.7735940707309277
