topic,score
amy schumer,0.6178571428571429
ant-man,0.5684345594525235
bad blood,0.7455197132616487
bee gees,1.0
big brother,0.5723905723905723
boko haram,0.47641509433962265
briana,0.5
brock lesnar,0.5842424242424242
caitlyn jenner,0.8102134146341464
calibraska,1.0
carly fiorina,0.5516917293233082
cate blanchett,0.5
charlie hebdo,0.8809523809523809
chris evans,0.55
christians,0.8164335664335665
chuck norris,0.8545454545454545
curtis,0.5555555555555556
dana white,0.6
dark souls,0.5909090909090909
david bowie,0.5
david price,0.5
david wright,0.5
dean ambrose,0.625
dunkin,0.5454545454545454
dustin johnson,0.5769230769230769
ed sheeran,0.5
eid,0.5
floyd mayweather,0.625
foo fighters,0.5
frank gifford,0.75
frank ocean,0.544434857635893
gay,0.6864705882352942
george harrison,1.0
george osborne,0.6680672268907563
gucci,0.625
hulk hogan,0.780672268907563
ice cube,0.561624649859944
ira,0.8947368421052632
iran,0.7989898989898989
iron maiden,0.75
islam,0.7850255246738513
israel,0.6876876876876876
janet jackson,0.6600877192982456
jason aldean,0.75
john cena,0.5808823529411765
john kasich,0.5515873015873015
josh hamilton,0.6666666666666666
justin bieber,0.5
kane,0.6428571428571428
kanye west,0.7097902097902098
katy perry,0.5
kendrick,0.5596938775510204
kendrick lamar,0.6
kim kardashian,0.59625
kpop,0.5
kris bryant,0.5
lady gaga,0.5
milan,0.5714285714285714
miss usa,0.5
moto g,0.5
murray,0.5789473684210527
muslims,0.746606334841629
naruto,0.5
national hot dog day,0.5
national ice cream day,1.0
niall,0.5
nicki,0.5357142857142857
nirvana,0.5
paper towns,0.5
paul dunne,0.5625
paul mccartney,0.5
prince george,1.0
ps4,0.5488888888888889
rahul gandhi,0.6008064516129032
randy orton,0.5
real madrid,0.5769230769230769
red sox,0.5
rolling stone,0.5833333333333334
rousey,0.6226950354609929
ryan braun,0.6111111111111112
sam smith,0.5
saudi arabia,0.75
scott walker,0.7857142857142857
seth rollins,0.5384615384615384
sharknado,0.6086956521739131
shawn,0.49514563106796117
star wars day,0.49295774647887325
super eagles,0.5
the vamps,0.5
thor,0.4950980392156863
tom brady,0.6115254237288136
tony blair,0.7179054054054055
twilight,0.5
u2,0.6
watchman,0.75
white sox,0.5416666666666666
yakub,0.759493670886076
yoga,0.5
zac brown band,1.0
zayn,0.6580459770114943
mean,0.6234172763149952
