topic,score
amy schumer,0.6892857142857143
ant-man,0.7053036783575706
bad blood,0.7616487455197133
bee gees,1.0
big brother,0.5774410774410774
boko haram,0.49056603773584906
briana,0.6190476190476191
brock lesnar,0.5909090909090909
caitlyn jenner,0.8208841463414633
calibraska,0.47560975609756095
carly fiorina,0.5582706766917294
cate blanchett,0.5
charlie hebdo,0.8095238095238095
chris evans,0.625
christians,0.7473776223776224
chuck norris,0.7772727272727273
curtis,0.5555555555555556
dana white,0.7333333333333334
dark souls,0.5454545454545454
david bowie,0.5
david price,0.5778388278388279
david wright,0.5
dean ambrose,0.625
dunkin,0.5454545454545454
dustin johnson,0.5769230769230769
ed sheeran,0.4954954954954955
eid,0.5
floyd mayweather,0.6564814814814814
foo fighters,0.5
frank gifford,0.75
frank ocean,0.588869715271786
gay,0.7276470588235294
george harrison,1.0
george osborne,0.7394957983193278
gucci,0.6875
hulk hogan,0.7071428571428571
ice cube,0.5665266106442577
ira,0.9276315789473684
iran,0.7626262626262625
iron maiden,0.75
islam,0.7268859897901305
israel,0.6858108108108107
janet jackson,0.6600877192982456
jason aldean,0.5
john cena,0.5367647058823529
john kasich,0.5476190476190476
josh hamilton,0.5
justin bieber,0.5919354838709677
kane,0.6802721088435374
kanye west,0.6756993006993006
katy perry,0.5
kendrick,0.6096938775510203
kendrick lamar,0.6407407407407407
kim kardashian,0.585
kpop,0.625
kris bryant,0.5857142857142857
lady gaga,0.5
milan,0.5714285714285714
miss usa,0.625
moto g,0.5
murray,0.6842105263157895
muslims,0.7358597285067874
naruto,0.6613475177304965
national hot dog day,0.49193548387096775
national ice cream day,1.0
niall,0.6185064935064934
nicki,0.6607142857142857
nirvana,0.4935064935064935
paper towns,0.5
paul dunne,0.5
paul mccartney,0.5
prince george,1.0
ps4,0.66
rahul gandhi,0.7209677419354839
randy orton,0.5
real madrid,0.6153846153846154
red sox,0.5
rolling stone,0.5833333333333334
rousey,0.5907801418439717
ryan braun,0.6111111111111112
sam smith,0.6027180783817951
saudi arabia,0.65
scott walker,0.8428571428571429
seth rollins,0.5384615384615384
sharknado,0.6086956521739131
shawn,0.7402912621359223
star wars day,1.0
super eagles,0.5
the vamps,0.5
thor,0.55
tom brady,0.6745762711864407
tony blair,0.7719594594594594
twilight,0.5198222829801777
u2,0.5923076923076923
watchman,0.625
white sox,0.5833333333333334
yakub,0.7177215189873418
yoga,0.5
zac brown band,1.0
zayn,0.6580459770114943
mean,0.6391821776919889
