topic,score
amy schumer,0.5384615384615384
ant-man,0.75
bad blood,0.6470588235294118
bee gees,1.0
big brother,0.5789473684210527
boko haram,0.40458015267175573
briana,0.6486742424242424
brock lesnar,0.6071428571428571
caitlyn jenner,0.7481884057971014
calibraska,1.0
carly fiorina,0.6377995642701525
cate blanchett,0.5
charlie hebdo,0.5658914728682171
chris evans,0.6666666666666666
christians,0.6236363636363637
chuck norris,0.5833333333333334
curtis,0.5268336314847942
dana white,0.6733333333333333
dark souls,0.6785714285714286
david bowie,0.5
david price,0.5511695906432749
david wright,0.5714285714285714
dean ambrose,0.75
dunkin,0.5277777777777778
dustin johnson,0.6503013115916342
ed sheeran,0.6
eid,0.875
floyd mayweather,0.7272272272272272
foo fighters,0.5
frank gifford,0.6
frank ocean,0.6052631578947368
gay,0.6688888888888889
george harrison,1.0
george osborne,0.756952169076752
gucci,0.6111111111111112
hulk hogan,0.7345454545454546
ice cube,0.5
ira,0.6378378378378378
iran,0.694535519125683
iron maiden,0.6666666666666666
islam,0.6951193520886616
israel,0.6642857142857143
janet jackson,0.5
jason aldean,0.5
john cena,0.6167355371900827
john kasich,0.6145833333333333
josh hamilton,0.6666666666666666
justin bieber,0.5327635327635327
kane,0.6935483870967742
kanye west,0.7532193158953723
katy perry,0.5603174603174603
kendrick,0.5366709183673469
kendrick lamar,0.5256320224719101
kim kardashian,0.717391304347826
kpop,0.6666666666666666
kris bryant,0.625
lady gaga,0.5
milan,0.5833333333333334
miss usa,0.5
moto g,0.625
murray,0.6458333333333334
muslims,0.6208333333333333
naruto,0.55
national hot dog day,0.5
national ice cream day,1.0
niall,0.5357142857142857
nicki,0.6461489898989898
nirvana,0.5
paper towns,0.5625
paul dunne,0.55
paul mccartney,1.0
prince george,0.5
ps4,0.75
rahul gandhi,0.718944099378882
randy orton,0.5
real madrid,0.78125
red sox,0.5681818181818181
rolling stone,0.6875
rousey,0.6521739130434783
ryan braun,0.5555555555555556
sam smith,0.6176470588235294
saudi arabia,0.5714285714285714
scott walker,0.6688034188034189
seth rollins,0.6427364864864865
sharknado,0.6153846153846154
shawn,0.7
star wars day,1.0
super eagles,0.75
the vamps,0.6
thor,0.5
tom brady,0.645021645021645
tony blair,0.5269230769230769
twilight,0.5805137844611529
u2,0.5507352941176471
watchman,0.5
white sox,0.6666666666666666
yakub,0.575
yoga,0.5
zac brown band,1.0
zayn,0.6
mean,0.6382025395780904
